epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6139,2.19382,5.13652,1.76424,0.2746,0.11714,0.02616,0.01547,1.66052,4.76454,1.53056,6.672e-05,6.672e-05,6.672e-05
2,37.9972,1.50313,3.0359,1.28078,0.18566,0.55375,0.23262,0.15562,1.26036,3.9676,1.25461,0.000134871,0.000134871,0.000134871
3,47.6806,1.36947,2.16778,1.21778,0.24257,0.69954,0.33447,0.21489,1.24035,2.15307,1.24185,0.000201647,0.000201647,0.000201647
4,58.8685,1.34076,1.90429,1.19853,0.32749,0.68601,0.41275,0.26693,1.20561,1.70735,1.22786,0.000267046,0.000267046,0.000267046
5,73.9321,1.29941,1.77065,1.17024,0.35669,0.73625,0.4434,0.29385,1.19322,1.58184,1.20039,0.000266991,0.000266991,0.000266991
6,88.6309,1.26008,1.67057,1.16836,0.3622,0.73613,0.43963,0.29093,1.1803,1.54966,1.20026,0.000264239,0.000264239,0.000264239
7,100.025,1.22973,1.57923,1.14629,0.40151,0.79826,0.47719,0.31436,1.16777,1.46929,1.17532,0.000261487,0.000261487,0.000261487
8,113.078,1.23359,1.55453,1.14434,0.42819,0.77977,0.55659,0.37629,1.14613,1.40547,1.17551,0.000258735,0.000258735,0.000258735
9,125.901,1.19675,1.49236,1.1327,0.42955,0.81034,0.51586,0.3459,1.13959,1.37332,1.17172,0.000255982,0.000255982,0.000255982
10,137.476,1.20754,1.4277,1.13852,0.44608,0.84178,0.53298,0.35578,1.14673,1.36152,1.19084,0.00025323,0.00025323,0.00025323
11,147.529,1.20713,1.4137,1.13945,0.49768,0.80569,0.60969,0.40801,1.12175,1.25205,1.18114,0.000250478,0.000250478,0.000250478
12,160.307,1.17957,1.3794,1.12597,0.44045,0.87489,0.49108,0.3271,1.12046,1.34758,1.17025,0.000247726,0.000247726,0.000247726
13,171.818,1.18774,1.33746,1.12376,0.47975,0.84162,0.61196,0.41617,1.13088,1.21664,1.16426,0.000244974,0.000244974,0.000244974
14,184.651,1.18156,1.31459,1.11768,0.49094,0.84156,0.64665,0.44212,1.13128,1.19828,1.16566,0.000242221,0.000242221,0.000242221
15,197.583,1.16123,1.29693,1.10286,0.40205,0.80375,0.50203,0.33571,1.11628,1.36671,1.17444,0.000239469,0.000239469,0.000239469
16,209.111,1.15689,1.30621,1.10942,0.48421,0.83829,0.63556,0.4297,1.13985,1.19869,1.16892,0.000236717,0.000236717,0.000236717
17,219.59,1.15449,1.25106,1.09627,0.4392,0.87294,0.54918,0.36391,1.17226,1.28209,1.15739,0.000233965,0.000233965,0.000233965
18,230.758,1.14236,1.21885,1.08667,0.50558,0.84181,0.66009,0.44912,1.14177,1.19893,1.15765,0.000231213,0.000231213,0.000231213
19,244.156,1.15002,1.17758,1.09558,0.55537,0.80351,0.71939,0.49296,1.15885,1.13556,1.157,0.00022846,0.00022846,0.00022846
20,259.168,1.13589,1.18729,1.10056,0.60095,0.76773,0.73399,0.50602,1.11819,1.0853,1.14325,0.000225708,0.000225708,0.000225708
21,272.712,1.11873,1.12611,1.08809,0.55431,0.81527,0.6907,0.46415,1.13944,1.14042,1.14933,0.000222956,0.000222956,0.000222956
22,286.122,1.15358,1.11327,1.10192,0.56394,0.79153,0.70587,0.47891,1.12477,1.18377,1.16778,0.000220204,0.000220204,0.000220204
23,302.479,1.11994,1.08073,1.08728,0.61178,0.78073,0.70869,0.47513,1.1036,1.11439,1.157,0.000217452,0.000217452,0.000217452
24,314.032,1.10647,1.05422,1.07349,0.72615,0.8073,0.82835,0.55544,1.14062,0.96492,1.14911,0.000214699,0.000214699,0.000214699
25,326.983,1.10695,1.03296,1.0817,0.51744,0.74506,0.61941,0.4239,1.10392,1.27775,1.14443,0.000211947,0.000211947,0.000211947
26,338.567,1.12568,0.99928,1.08274,0.71252,0.80376,0.79442,0.53012,1.12944,1.02038,1.14945,0.000209195,0.000209195,0.000209195
27,349.578,1.09077,0.98751,1.07849,0.5864,0.79688,0.73061,0.50642,1.08897,1.10976,1.12946,0.000206443,0.000206443,0.000206443
28,360.88,1.06996,0.94759,1.06572,0.47625,0.73931,0.62188,0.41589,1.14197,1.51169,1.14902,0.000203691,0.000203691,0.000203691
29,373.217,1.09629,0.92712,1.06544,0.59906,0.7974,0.72072,0.48136,1.12878,1.12659,1.14755,0.000200938,0.000200938,0.000200938
30,385.311,1.07476,0.8768,1.0613,0.70366,0.79562,0.81707,0.53203,1.17442,1.02652,1.15024,0.000198186,0.000198186,0.000198186
31,397.354,1.09209,0.8813,1.0582,0.75179,0.85339,0.84837,0.57869,1.09977,0.88836,1.12993,0.000195434,0.000195434,0.000195434
32,410.787,1.07551,0.8741,1.0693,0.73082,0.82509,0.81941,0.55395,1.10183,1.00373,1.13451,0.000192682,0.000192682,0.000192682
33,421.547,1.04163,0.82421,1.05621,0.8534,0.88942,0.91691,0.63182,1.08298,0.77502,1.12559,0.00018993,0.00018993,0.00018993
34,433.724,1.05725,0.82356,1.05105,0.76122,0.85229,0.85782,0.59204,1.07089,0.95078,1.12373,0.000187177,0.000187177,0.000187177
35,445.348,1.07777,0.81929,1.06279,0.69077,0.80024,0.80282,0.56249,1.08712,1.00742,1.14086,0.000184425,0.000184425,0.000184425
36,456.916,1.06027,0.79345,1.05536,0.72776,0.79984,0.80348,0.55405,1.10035,1.02086,1.1364,0.000181673,0.000181673,0.000181673
37,470.182,1.07428,0.77509,1.066,0.77644,0.8171,0.82463,0.56053,1.12231,0.96408,1.13925,0.000178921,0.000178921,0.000178921
38,480.599,1.04452,0.76243,1.04816,0.85815,0.85489,0.89715,0.61302,1.10568,0.82458,1.138,0.000176169,0.000176169,0.000176169
39,492.003,1.0365,0.77669,1.05261,0.85659,0.87305,0.90413,0.62343,1.082,0.78006,1.12599,0.000173416,0.000173416,0.000173416
40,503.638,1.03696,0.75086,1.04636,0.87253,0.87352,0.91482,0.62379,1.09829,0.7658,1.13723,0.000170664,0.000170664,0.000170664
41,515.513,1.04578,0.74691,1.04925,0.80532,0.84753,0.87477,0.6071,1.07799,0.85218,1.121,0.000167912,0.000167912,0.000167912
42,527.173,1.02607,0.74615,1.04068,0.7604,0.81281,0.83476,0.57827,1.09615,0.96819,1.1234,0.00016516,0.00016516,0.00016516
43,537.349,1.03618,0.72931,1.04664,0.84594,0.87559,0.89414,0.60933,1.11537,0.80562,1.14432,0.000162408,0.000162408,0.000162408
44,548.897,1.03489,0.71732,1.03919,0.86665,0.88785,0.91026,0.62859,1.08711,0.78643,1.12321,0.000159655,0.000159655,0.000159655
45,560.452,1.03836,0.70099,1.04284,0.7886,0.82594,0.85943,0.59662,1.0913,0.91587,1.13246,0.000156903,0.000156903,0.000156903
46,571.905,1.04174,0.68937,1.04348,0.8273,0.85073,0.88831,0.61589,1.08667,0.84531,1.13076,0.000154151,0.000154151,0.000154151
47,582.581,1.00488,0.68535,1.02921,0.87284,0.8878,0.92171,0.64055,1.07465,0.73883,1.12301,0.000151399,0.000151399,0.000151399
48,595.334,1.00189,0.6903,1.03589,0.82105,0.84127,0.87491,0.60728,1.079,0.84943,1.1243,0.000148647,0.000148647,0.000148647
